,Ingredient,Weight (g),Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Sugar (g),Fiber (g),Serving weight (g),title
0,butter,7.1,50.907,0.060349999999999994,5.7581,0.00426,0.00426,0.0,171.39260357856247,White Sauce for Pasta
1,margarine,7.0,50.19,0.011200000000000002,5.649,0.048999999999999995,0.0,0.0,171.39260357856247,White Sauce for Pasta
2,all-purpose flour,5.859375,21.328125,0.6035156250000001,0.057421875,4.470703125,0.0158203125,0.15820312500000003,171.39260357856247,White Sauce for Pasta
3,chicken bouillon,1.2,2.376,0.1752,0.0564,0.282,0.0,0.0,171.39260357856247,White Sauce for Pasta
4,water,88.7205886875,0.0,0.0,0.0,0.0,0.0,0.0,171.39260357856247,White Sauce for Pasta
5,2% milk,61.0,30.5,2.013,1.2078,2.928,3.0866,0.0,171.39260357856247,White Sauce for Pasta
6,pepper,0.5126398910625,1.2867261265668748,0.0533145486705,0.0167120604486375,0.32808953028,0.0032808953027999997,0.1296978924388125,171.39260357856247,White Sauce for Pasta
0,butter,2.3645833334532678,16.95406250085993,0.020098958334352775,1.9176770834306,0.0014187500000719605,0.0014187500000719605,0.0,94.30523909504797,Parmesan Cream Sauce
1,garlic,0.75,1.1175,0.047700000000000006,0.00375,0.24825000000000003,0.0075,0.01575,94.30523909504797,Parmesan Cream Sauce
2,table cream,53.8640932615947,105.03498186010965,1.594377160543203,10.288041812964588,1.971425813374366,1.9768122227005254,0.0,94.30523909504797,Parmesan Cream Sauce
3,white pepper,0.15,0.444,0.015600000000000001,0.00318,0.10289999999999999,0.0,0.039299999999999995,94.30523909504797,Parmesan Cream Sauce
4,salt,0.375,0.0,0.0,0.0,0.0,0.0,0.0,94.30523909504797,Parmesan Cream Sauce
5,Parmesan cheese,37.1765625,145.73212500000002,13.309209375,9.294140625,1.1970853125000003,0.04089421875,0.0,94.30523909504797,Parmesan Cream Sauce
0,olive oil,1.6875,14.9175,0.0,1.6875,0.0,0.0,0.0,658.6066527084673,Rigatoni alla Genovese
1,salt pork,21.26214234375,159.04082473124998,1.073738188359375,17.11602458671875,0.0,0.0,0.0,658.6066527084673,Rigatoni alla Genovese
2,beef chuck,141.747615625,184.2719003125,30.617484975000004,6.8180603115625,0.17009713875,0.0,0.0,658.6066527084673,Rigatoni alla Genovese
3,kosher salt,1.8203125000923284,0.0,0.0,0.0,0.0,0.0,0.0,658.6066527084673,Rigatoni alla Genovese
4,celery,6.3125,0.88375,0.04355625,0.010731250000000001,0.18748125000000002,0.0845875,0.10100000000000002,658.6066527084673,Rigatoni alla Genovese
