,title,views,date
12,Annoying the vegans #cooking #food #foodasmr #recipe,11177775,2024-01-06 12:00:13
9,"HIGH PROTEIN BEST vegan patties without excessive calories. Batch cook, freeze and add to any meal!",2067467,2024-02-19 17:46:46
8,Add cabbage to lentils to get incredibly delicious result! New way to cook cabbage!,856115,2024-09-22 11:30:51
2,4 LENTIL Recipes EVERYONE Should Know,619218,2024-03-23 07:00:06
7,Easy Lentil Patties,535185,2024-04-11 06:00:45
14,Marinated Tofu: a Fail-proof Protein Choice,445732,2024-01-31 08:00:32
0,LAZY VEGAN RECIPES | balanced meals in 10 minutes,212803,2024-01-25 14:21:33
4,This IRRESISTIBLE HIGH PROTEIN vegan dish impresses non-vegans!,180571,2024-08-04 07:14:44
6,vegan recipes for dinner that everyone will love,165568,2024-06-09 12:36:26
5,The cooking method that will change your mind about tofu | Vegan & Vegetarian Meal Ideas,129607,2024-09-15 07:00:59
3,High Protein Vegan Recipes,116834,2024-06-09 13:02:22
13,3 EASY VEGAN RECIPES FOR BEGINNERS #VEGANUARY,116364,2024-01-05 08:55:56
11,Harissa Glazed Roast Potatoes | SO VEGAN #veganfood #shorts #veganrecipes #recipes #cooking,59427,2024-06-28 09:26:09
1,The Ultimate Nigerian Party Jollof Recipe with Zeelicious & Chef Derin! 🔥🍲,36731,2024-11-01 03:48:08
10,Healthy Vegan Recipes I Make in 15 Minutes or Less!,25793,2024-03-16 05:00:24
